K,K6,Title,Forces,Key,Date,Genre,Notes
166,159d,"Divertimento(""No.3"")",2ob 2eh 2cl 2bn 2hn,E♭major,1773,Chamber,
184,161a,Symphony No.26,orch,E♭major,1773,Orchestral,
199,161b,Symphony No.27,orch,G major,1773,Orchestral,
162,162,Symphony No.22,orch,C major,1773,Orchestral,
181,162b,Symphony No.23,orch,D major,1773,Orchestral,
167,167,"Missa(""No.7"" or ""Trinitatis"")",ch orch,C major,1773,Choral,
205,167A,"Divertimento(""No.7"")",orch,D major,1773,Orchestral,
290,167AB,March,orch,D major,1772,Orchestral,
185,167a,"Serenade(""No.3"" or ""Antretter"")",orch,D major,1773,Orchestral,
189,167b,March,orch,D major,1773,Orchestral,
168,168,String Quartet No.8,2vn va vc,F major,1773,Chamber,
169,169,String Quartet No.9,2vn va vc,A major,1773,Chamber,
170,170,String Quartet No.10,2vn va vc,C major,1773,Chamber,
171,171,String Quartet No.11,2vn va vc,E♭major,1773,Chamber,
172,172,String Quartet No.12,2vn va vc,B♭major,1773,Chamber,
173,173,String Quartet No.13,2vn va vc,D minor,1773,Chamber,
180,173c,"Variations (6) on ""Mio caro adone""",pf,G major,1773,Keyboard,
182,173dA,Symphony No.24,orch,B♭major,1773,Orchestral,
183,173dB,Symphony No.25,orch,G minor,1773,Orchestral,
174,174,String Quintet No.1,2vn 2va vc,B♭major,1773,Chamber,
175,175,Piano Concerto No.5,pf orch,D major,1773,Orchestral,
176,176,Minuets (16),orch,,1773,Orchestral,
201,186a,Symphony No.29,orch,A major,1774,Orchestral,
202,186b,Symphony No.30,orch,D major,1774,Orchestral,
358,186c,Sonata,pf4h,B♭major,1773–74,Keyboard,
195,186d,Litaniae Lauretanae,vv ch orch,D major,1774,Choral,
190,186E,Concertone,2vn orch,C major,1774,Orchestral,
191,186e,Bassoon Concerto,bn orch,B♭major,1774,Orchestral,
192,186f,"Missa brevis(""Mass No.6"")",vv ch orch,F major,1774,Choral,
193,186g,Dixit Dominus and Magnificat,2vv ch orch,C major,1774,Choral,
194,186h,"Missa brevis(""Mass No.8"")",vv ch orch,D major,1774,Choral,
91,186i,Kyrie,ch orch,D major,1774,Choral,incomplete
179,189a,Variations (12) on a Minuet by Fischer,pf,C major,1774,Keyboard,
203,189b,"Serenade(""No.4"" or ""Colloredo"")",orch,D major,1774,Orchestral,
237,189c,March,orch,D major,1774,Orchestral,
279,189d,Piano Sonata No.1,pf,C major,1775,Keyboard,
280,189e,Piano Sonata No.2,pf,F major,1775,Keyboard,
281,189f,Piano Sonata No.3,pf,B♭major,1775,Keyboard,
282,189g,Piano Sonata No.4,pf,E♭major,1775,Keyboard,
283,189h,Piano Sonata No.5,pf,G major,1775,Keyboard,
200,189k,Symphony No.28,orch,C major,1774,Orchestral,
196,196,La finta giardiniera,vv ch orch,,1775,Stage,
220,196b,"Missa brevis(""Mass No.9"" or ""Spatzen"")",vv ch orch,C major,1775–76,Choral,
292,196c,Sonata,bn vc,B♭major,1775,Chamber,
222,205a,Misericordias Domini,ch orch,D minor,1775,Choral,
284,205b,"Piano Sonata No.6(""Durnitz"")",pf,D major,1775,Keyboard,
207,207,Violin Concerto No.1,vn orch,B♭major,1773,Orchestral,
121,207a,"Allegro(""Symphony No.51"")",orch,D major,1775,Orchestral,
208,208,Il ré pastore,vv ch orch,,1775,Stage,
209,209,Si mostra la sorte,v orch,D major,1775,Vocal,
210,210,"Con ossequio, con rispetto",v orch,C major,1775,Vocal,
152,210a,Ridente la calma,v pf,F major,—,Vocal,spurious (byJosef Mysliveček)
211,211,Violin Concerto No.2,vn orch,D major,1775,Orchestral,
212,212,"Church Sonata(""No.6"")",2vn org bc,B♭major,1775,Chamber,
213,213,"Divertimento(""No.8"")",2ob 2bn 2hn,F major,1775,Chamber,
204,213a,"Serenade(""No.5"")",orch,D major,1775,Orchestral,
215,213b,March,orch,D major,1775,Orchestral,
102,213c,Symphony No.52,orch,C major,1775–76,Orchestral,
214,214,March,orch,C major,1775,Orchestral,
216,216,"Violin Concerto No.3(""Strassburg"")",vn orch,G major,1775,Orchestral,
217,217,Voi avete un cor fedele,v orch,G major,1775,Vocal,
218,218,Violin Concerto No.4,vn orch,D major,1775,Orchestral,
219,219,"Violin Concerto No.5(""Turkish"")",vn orch,A major,1775,Orchestral,
238,238,Piano Concerto No.6,pf orch,B♭major,1776,Orchestral,
239,239,"Serenade(""No.6"" or ""Serenata notturna"")",orch,D major,1776,Orchestral,
240,240,"Divertimento(""No.9"")",2ob 2bn 2hn,B♭major,1776,Chamber,
252,240a,"Divertimento(""No.12"")",2ob 2bn 2hn,E♭major,1776,Chamber,
188,240b,"Divertimento(""No.6"")",2fl 5tpt timp,C major,1773,Chamber,
241,241,"Church Sonata(""No.7"" or ""No.9"")",2vn org bc,G major,1776,Chamber,
224,241a,"Church Sonata(""No.15"" or ""No.7"")",2vn org bc,F major,1780,Chamber,
225,241b,"Church Sonata(""No.16"" or ""No.8"")",2vn org bc,A major,1780,Chamber,
242,242,"Piano Concerto No.7(""Lodron"")",3pf orch,F major,1779?,Orchestral,
243,243,Litaniae de venerabili altaris sacramento,vv ch orch,E♭major,1776,Choral,
244,244,"Church Sonata(""No.8"")",2vn org bc,F major,1776,Chamber,
245,245,"Church Sonata(""No.9"" or ""No.11"")",2vn org bc,D major,1776,Chamber,
246,246,"Piano Concerto No.8(""Lutzow"")",pf orch,C major,1776,Orchestral,
262,246a,"Mass(""No.13"" or ""Missa longa"")",vv ch orch,C major,1776,Choral,
288,246c,Divertimento,orch,F major,—,Orchestral,incomplete
247,247,"Divertimento(""No.10"" or ""Lodronische Nachtmusik"")",orch,F major,1776,Orchestral,
248,248,March,orch,F major,1776,Orchestral,
260,248a,Venite populi,2ch orch,D major,1776,Choral,
250,248b,"Serenade(""No.7"" or ""Haffner"")",orch,D major,1776,Orchestral,
249,249,"March(""Haffner"")",orch,D major,1776,Orchestral,
101,250a,"Country Dances (4)(""Serenade"")",orch,,1776,Orchestral,
251,251,"Divertimento(""No.11"")",orch,D major,1776,Orchestral,
253,253,"Divertimento(""No.13"")",2ob 2bn 2hn,F major,1776,Chamber,
254,254,"Divertimento(""Piano Trio No.1"")",vn vc pf,B♭major,1776,Chamber,
255,255,"Ombra felice(""Io ti lascio"")",v orch,F major,1776,Vocal,
256,256,Clarice cara mia sposa,v orch,D major,1776,Vocal,
257,257,"Mass(""No.10"" or ""Credo"")",vv ch orch,C major,1776–77?,Choral,
258,258,"Missa brevis(""Mass No.11"" or ""Spaur"")",vv ch orch,C major,1775–76,Choral,
259,259,"Missa brevis(""Mass No.12"" or(""Organ Solo"")",vv ch orch,C major,1775–76,Choral,
261,261,Adagio,vn orch,E major,1776,Orchestral,
269,261a,Rondo,vn orch,B♭major,1776,Orchestral,
263,263,"Church Sonata(""No.10"" or ""No.12"")",2tpt 2vn org bc,C major,1776,Chamber,
286,269a,Notturno,4orch,D major,1776,Orchestral,
—,269b,Country Dances (4),orch,,1777,Orchestral,
270,270,"Divertimento(""No.14"")",2ob 2bn 2hn,B♭major,1777,Chamber,
271,271,"Piano Concerto No.9(""Jeunehomme"" or ""Jenamy"")",pf orch,E♭major,1777,Orchestral,
267,271c,Country Dances (4),orch,,1777,Orchestral,
274,271d,"Church Sonata(""No.11"" or ""No.13"")",2vn org bc,G major,1777,Chamber,
278,271e,"Church Sonata(""No.12"" or ""No.14"")",orch,C major,1777,Orchestral,
266,271f,Trio,2vn vc,B♭major,1777,Chamber,
289,271g,"Divertimento(""No.16"")",2ob 2bn 2hn,E♭major,1777,Chamber,
287,271h,Divertimento,orch,B♭major,1777,Orchestral,
—,271i,Violin Concerto,vn orch,D major,1777,Orchestral,
314,271k,Oboe Concerto,ob orch,C major,1775–77?,Orchestral,revised as K.314/285d
272,272,"Ah, lo previdi",v orch,C minor,1777,Vocal,
277,272a,Alma Dei creatoris,ch orch,F major,1777,Choral,
275,272b,"Missa brevis(""Mass No.14"")",vv ch orch,B♭major,1772 or 1777,Choral,
273,273,"Sancta Maria, mater Dei",vv ch orch,F major,1777,Choral,
395 / 300g,284a,Prelude in C major,pf,C major,1777,Keyboard,"formerly known as ""Capriccio"" K 395 / K 300g"
309,284b,Piano Sonata No.7,pf,C major,1777,Keyboard,
311,284c,Piano Sonata No.9,pf,D major,1777,Keyboard,
307,284d,"Oiseaux, si tous les ans",v orch,C major,1777,Vocal,
285,285,"Flute Quartet(""No.1"")",fl vn va vc,D major,1777,Chamber,
—,285a,"Flute Quartet(""No.2"")",fl vn va vc,G major,1778,Chamber,
Anh.171,285b,"Flute Quartet(""No.3"")",fl vn va vc,C major,1778,Chamber,
313,285c,"Flute Concerto(""No.1"")",fl orch,G major,1778,Orchestral,based on K.314/271k
314,285d,"Flute Concerto(""No.2"")",fl orch,D major,1777,Orchestral,
315,285e,Andante,fl orch,C major,1778,Orchestral,
301,293a,"Violin Sonata(""No.18"")",vn pf,G major,1778,Chamber,
302,293b,"Violin Sonata(""No.19"")",vn pf,E♭major,1778,Chamber,
303,293c,"Violin Sonata(""No.20"")",vn pf,C major,1778,Chamber,
305,293d,"Violin Sonata(""No.22"")",vn pf,A major,1778,Chamber,
294,294,"Alcandro, lo confesso",v orch,,1778,Vocal,
295,295,"Se al labbro mio non credi(""Il cor dolente"")",v orch,B♭major,1778,Vocal,
—,295a,"Basta, vincesti",v orch,E♭major,1778,Vocal,
308,295b,Dans un bois solitaire,v orch,A♭major,1778,Vocal,
296,296,"Violin Sonata(""No.17"")",vn pf,C major,1778,Chamber,
322,296a,Kyrie,ch orch,E♭major,1778,Choral,incomplete
Anh.9,297B,Sinfonia concertante,ob cl bn hn orch,E♭major,1778,Chamber,
299,297c,Flute and Harp Concerto,fl hp orch,C major,1778,Orchestral,
298,298,"Flute Quartet(""No.4"")",fl vn va vc,A major,1786?,Chamber,
354,299a,"Variations (12) on ""Je suis Lindor""",pf,E♭major,1778,Keyboard,
Anh.10,299b,Les petits riens,orch,,1778,Orchestral,
Anh.103,299d,La chasse,orch,A major,1778,Orchestral,incomplete
300,300,Gavotte,orch,B♭major,1778,Orchestral,
297,300a,"Symphony No.31(""Paris"")",orch,D major,1778,Orchestral,
316,300b,"Popoli di Tessaglia(""Io non chiedo"")",v orch,C major,1779,Vocal,
304,300c,"Violin Sonata(""No.21"")",vn pf,E minor,1778,Chamber,
310,300d,Piano Sonata No.8,pf,A minor,1778,Keyboard,
265,300e,"Variations (12) on ""Ah, vous dirai-je maman""",pf,C major,1781–82?,Keyboard,
353,300f,"Variations (12) on ""La belle françoise""",pf,E♭major,1781–82?,Keyboard,
330,300h,Piano Sonata No.10,pf,C major,1783,Keyboard,
331,300i,"Piano Sonata No.11(""Alla Turca"")",pf,A major,1783,Keyboard,
332,300k,Piano Sonata No.12,pf,F major,1783,Keyboard,
306,300l,"Violin Sonata(""No.23"")",vn pf,D major,1778,Chamber,
333,315c,"Piano Sonata No.13(""Linz"")",pf,B♭major,1783,Keyboard,
264,315d,"Variations (9) on ""Lison dormait""",pf,C major,1778,Keyboard,
Anh.56,315f,Concerto for Violin and Piano,vn pf orch,D major,1778,Orchestral,incomplete
—,315g,Minuets (8),pf,,1773,Keyboard,
365,316a,Piano Concerto No.10,2pf orch,E♭major,1779–81?,Orchestral,
317,317,"Mass(""No.15"" or ""Coronation"")",vv ch orch,C major,1779,Choral,
329,317a,"Church Sonata(""No.13"" or ""No.16"")",orch,C major,1779,Orchestral,
146,317b,"Kommet her, ihr frechen Sünder",v orch,B♭major,1779,Vocal,
328,317c,"Church Sonata(""No.14"" or ""No.15"")",2vn org bc,C major,1779,Chamber,
378,317d,"Violin Sonata(""No.26"")",vn pf,B♭major,1779,Chamber,
318,318,Symphony No.32,orch,G major,"1779, 1782–83",Orchestral,
319,319,Symphony No.33,orch,B♭major,"1779, 1785",Orchestral,
320,320,"Serenade(""No.9"" or ""Posthorn"")",orch,D major,1779,Orchestral,
335,320a,Marches (2),orch,D major,1779,Orchestral,
—,320B,Divertimento,orch,D major,1772–73,Orchestral,incomplete
334,320b,Divertimento,orch,D major,1779,Orchestral,
445,320c,March,orch,D major,1780,Orchestral,
364,320d,Sinfonia concertante,vn va orch,E♭major,1779,Orchestral,
Anh.104,320e,Sinfonia concertante,vn va vc orch,A major,1779,Orchestral,incomplete
321,321,Vesperae de Dominica,vv ch orch,C major,1779,Choral,
276,321b,Regina coeli,v ch orch,C major,1779,Choral,
Anh.15,323,Kyrie,ch orch,C major,1779,Choral,incomplete
345,336a,"Thamos, König in Ägypten",vv ch orch,,1779,Stage,
344,336b,Zaide,vv orch,,1780,Stage,
343,336c,Kirchenlieder (2),v pf,,1780,Vocal,
336,336d,"Church Sonata(""No.17"")",2vn org bc,C major,1780,Chamber,
337,337,"Missa solemnis(""Mass No.16"")",vv ch orch,C major,1780,Choral,
338,338,Symphony No.34,orch,C major,1780,Orchestral,
339,339,Vesperae solennes de confessore,vv ch orch,C major,1780,Choral,
392,340a,Verdankt sei es dem Glanz,v pf,F major,1780,Vocal,
391,340b,"An die Einsamkeit(""Sei du mein trost"")",v pf,B♭major,1780,Vocal,
390,340c,"An die Hoffnung(""Ich würd auf meinem Pfad"")",v pf,D minor,1780,Vocal,
363,363,Minuets (3),orch,,1783?,Orchestral,
366,366,Idomeneo,vv ch orch,,1781,Stage,
367,367,Idomeneo(ballet music),orch,,1781,Orchestral,
349,367a,Die Zufriedenheit,v mand/pf,G major,1780,Vocal,
351,367b,"Komm, liebe Zither komm",v mand,C major,1781,Vocal,
368,368,Ma che vi fece,v orch,F major,1781,Vocal,
341,368a,Kyrie,ch orch,D minor,1781,Choral,
370,368b,Oboe Quartet,ob vn va vc,F major,1781,Chamber,
369,369,"Misera, dove son!(""Ah! non son io"")",v orch,E♭major,1781,Vocal,
