KeyB,KeyM
,F major
,
,G major
,
,B♭major
,F major
,
,E♭major
,E♭major
,C major
,E♭major
,C major
,C major
,C major
,E♭major
,C major
,E minor
,A major
,B♭major
,B♭major
,G minor
,A♭major
,E major
,B♭major
