KeyB,KeyM
C minor,G major
D major,G major
D major,G major
D major,G major
D major,G major
D major,G major
D minor,G major
E♭ major,G major
E♭ major,G major
E♭ major,G major
E♭ major,G major
F major,G major
F major,G major
F major,G major
F major,G major
G major,G major
G major,G major
G minor,G major
G minor,G major
,G major
,G major
,G major
,G major
,G major
A♭ major-D major,G minor
B♭ major,G minor
B♭ major,G minor
E major,G minor
,G minor
C major,
C major,
C major,
C major,
C major,
C major,
C major,
C major,
C major,
C minor,
C minor,
C minor,
C minor,
D major,
D major,
D major,
D major,
E major,
E♭ major,
E♭ major,
E♭ major,
F major,
F major,
F major,
F major,
G major,
G major,
G major,
G major,
G major,
G major,
G major,
,
,C major
,F major
,F minor
,C major
,C major
,C major
,C major
,C major
,
,E♭major
,C minor
,B♭major
,B♭major
,D major
,D major
,
,C major
,C major
,A major
,C minor
,D minor
,D minor
,C major
,G minor
,A major
,A major
,D major
,E♭major
,D major
,G major
,F major
,C major
,
,G major
,
,B♭major
,D major
,F major
,
,
,F major
,E♭major
,C minor
,D minor
,A major
,A major
,C major
,E♭major
,F minor
,E♭major
,
,G major
,B♭major
,
,C major
,G major
,E♭major
,C minor
,C minor
,F major
,G major
,E♭major
,F major
,F major
,B♭major
,G major
,D major
,E♭major
,
,
,
,E♭major
,B♭major
,D major
,E♭major
,E♭major
,G major
,C minor
,B♭major
,E♭major
,A major
,G major
,B♭major
,C minor
,B♭major
,F major
,A major
,A major
,C major
,D minor
,C major
,B♭major
,E♭major
,C minor
,E minor
,E♭major
,G minor
,B♭major
,G major
,C minor
,D minor
,G major
,G minor
,E♭major
,C minor
,A major
,B♭major
,E♭major
,E♭major
,B♭major
,G major
,B♭major
,B♭major
,F major
,F major
,D major
,
,E♭major
,A major
,B♭major
,B♭major
,C minor
,
,E♭major
,F major
,E major
,E♭major
,G major
,
,F major
,G major
,E♭major
,D major
,B♭major
,G major
,G major
,B♭major
,C major
,C major
,D major
,E♭major
,F major
,F major
,F major
,
,
,G major
,A minor
,F major
,E♭major
,B♭major
,C major
,F major
,G minor
,G minor
,C minor
,B♭major
,C major
,E minor
,F major
,F minor
,C minor
,C major
,F major
,F major
,E♭major
,G major
,A major
,
,C major
,F major
,E♭major
,C major
,B♭major
,F major
,D major
,C major
,
,B♭major
,
,D major
,D major
,F major
,A major
,B minor
,G major
,C major
,E♭major
,F major
,E major
,E♭major
,C major
,C minor
,G major
,F major
,F major
,F major
,C major
,B♭major
,G minor
,C major
,A major
,C major
,F major
,A minor
,G major
,F minor
,B♭major
,F major
,F major
,F major
,A major
,A major
,B♭major
,C major
,G major
,E♭major
,G major
,
,
,
,B♭major
,B♭major
,
,E♭major
,
,D major
,G major
,D major
,D major
,D major
,D major
,F major
,B♭major
,G major
,B♭major
,C major
,F major
,A major
,A major
,C major
,E♭major
,D major
,
,
,C major
,G minor
,
,
,E♭major
,B♭major
,B♭major
,F major
,F major
,F major
,F major
,G minor
,
,
,D major
,D major
,D minor
,F minor
,B♭major
,F major
,E♭major
,A major
,
,
,
,
,
,
,
,E♭major
,
,F minor
,
,G major
,C major
,D major
,F major
,E♭major
,E♭major
,E♭major
,F major
,C minor
,C major
,D major
,C major
,
,B minor
,
,E♭major
,G major
,A major
,C major
,F major
,D minor
,
,
,C minor
,C major
,C minor
,C minor
,C major
,E♭major
,D major
,G major
,B♭major
,D major
,F major
,
,G major
,
,B♭major
,F major
,
,E♭major
,E♭major
,C major
,E♭major
,C major
,C major
,C major
,E♭major
,C major
,E minor
,A major
,B♭major
,B♭major
,G minor
,A♭major
,E major
,B♭major
