Op.,WoO,Hess,Biam-onti,Title,Key,Date,Scoring,Genre,Notes,
—,148,—,670,"So oder So (""Nord oder Süd!"")",F major,1817,v pf,Vocal,,
—,149,—,679,"Resignation (""Lisch aus, mein Licht!"")",D major,1817,v pf,Vocal,,
—,150,—,722,"Abendlied unter'm gestirnten Himmel (""Wenn die Sonne nieder sinket"")",E major,1820,v pf,Vocal,,
—,151,132,768,Der edle Mensch sei hilfreich und gut,G major,1823,v pf,Vocal,,
—,152,—,561,Irish Songs(25),,1810-12,vv vn vc pf,Vocal,,
—,153,—,563,Irish Songs (20),,1810-13,vv vn vc pf,Vocal,,
—,154,—,565,Irish Songs (12),,1812-13,vv vn vc pf,Vocal,,
—,155,—,533,Welsh Songs (26),,1810-15,vv vn vc pf,Vocal,,
—,156,—,691,Scottish Songs (12),,1815-19,vv vn vc pf,Vocal,,
—,157,—,612,Songs of Various Nationalities (12),,1815-20,vv (ch) vn vc pf,Vocal,,
—,158a,—,663,Songs of Various Nationalities (23),,1816-17,vv vn vc pf,Vocal,,
—,158b,—,667,British Folk Songs (7),,1810-17,vv vn vc pf,Vocal,,
—,158c,—,692,Assorted Folk Songs (6),,1810-20,vv vn vc pf,Vocal,,
—,158d,—,—,Air Français,F major,,vv vn vc pf,Vocal,,
—,159,—,83,"Im Arm der Liebe ruht sich's wohl, canon",F major,1795,3vv,Vocal,,
—,160a,247,85,Canon,G major,1795,3vv,Vocal,without text,
—,160b,248,86,Canon,G major,1795,4vv,Vocal,without text,
—,161,—,528,"Ewig dein', canon'",C major,1811,3vv,Vocal,,
—,162,—,646,"An Mälzel(""Ta ta ta, lieber Mälzel""), canon",B♭ major,,4vv,Vocal,spurious, probably written by Anton Schindler
—,163,—,559,"Kurz ist der Schmerz, und ewig ist die Freude', canon'",F minor,1813,3vv,Vocal,1st setting of WoO 166,
—,164,—,579,"Freundschaft ist die Quelle wahrer Glückseligkeit, canon",C major,1814,3vv,Vocal,,
—,165,—,593,"Glück zum neuen Jahr, canon",D major,1815,4vv,Vocal,1st setting of WoO 176,
—,166,—,594,"Kurz ist der Schmerz, und ewig ist die Freude, canon",F major,1815,3vv,Vocal,2nd setting of WoO 163,
—,167,249,610,"Brauchle, Linke",C major,1815,3vv,Vocal,,
—,168a,—,649,"Das Schweigen, canon",D minor,1816,3vv,Vocal,,
—,168b,—,650,"Das Reden, canon",F major,1816,3vv,Vocal,,
—,169,250,647,"Ich küße Sie, drücke Sie an mein Herz, canon",C major,1816,2vv,Vocal,,
—,170,251,651,"Ars longa, vita brevis, canon",C major,1816,2vv,Vocal,"1st version of WoO 192, WoO 193",
—,171,252,683,"Glück fehl' dir vor allem!, canon",G major,,4vv,Vocal,spurious, now believed to have been written by Michael Haydn
—,172,—,695,"Ich bitt' dich, canon",E♭ major,1818,3vv,Vocal,,
—,173,253,711,Hol' euch der Teufel!,B♭ major,1819,2vv,Vocal,,
—,174,—,712,"Glaube und hoffe, canon",B♭ major,1819,4vv,Vocal,,
—,175,255,715,"Sankt Petrus war ein Fels, canon",,1820,4vv,Vocal,,
—,176,—,716,"Glück zum neuen Jahr, canon",F major,1819,3vv,Vocal,2nd setting of WoO 165,
—,177,257,734,"Bester Magistrat, Ihr friert, canon",E major,1820,4vv 2db,Vocal,,
—,178,—,733,"Abbé Stadler (""Signor Abate""), canon",B♭ major,1820,3vv,Vocal,,
—,179,—,717,"Alles Gute, alles Schöne! (""Seiner Kaiserlichen Hoheit""), canon",C major,1819,4vv,Vocal,,
—,180,—,724,"Hofmann und kein Hofmann (""Auf einen, welcher Hoffmann geheißen""), canon",C major,1820,2vv,Vocal,,
—,181/1,—,749,"Gedenket heute an Baden, canon",C major,1820,4vv,Vocal,,
—,181/2,258,750,"Gehabt euch wohl, canon",C major,1820,4vv,Vocal,,
—,181/3,259,751,"Tugend ist kein leerer Name, canon",C major,1820,3vv,Vocal,,
—,182,—,737,"O Tobias!, canon",D minor,1821,3vv,Vocal,,
—,183,—,770,"Bester Herr Graf, canon",F major,1823,4vv,Vocal,,
—,184,262,773,"Falstafferel, lass dich sehen!, canon",G major,1823,5vv,Vocal,,
—,185,—,775,"Edel sei der Mensch, canon",E major,1823,6vv,Vocal,1st version,
—,185,—,775,"Edel sei der Mensch, canon",E♭ major,1823,6vv,Vocal,2nd version,
—,186,—,789,"Te solo adoro, canon",E♭ major,1824,2vv,Vocal,"1st setting of Hess 263, Hess 264",
—,187,—,792,"Schwenke (""Schwenke dich ohne Schwänke""), canon",D minor,1824,4vv,Vocal,,
—,188,265,802,"Gott ist eine feste Burg, canon",B♭ major,1825,2vv,Vocal,,
—,189,266,805,"Doktor sperrt das Tor dem Tod, canon",C major,1825,4vv,Vocal,,
—,190,267,807,"Ich war hier, Doktor, canon",C major,1825,2vv,Vocal,,
—,191,—,823,"Kühl, nicht lau, canon",B♭ major,1825,3vv,Vocal,,
—,192,268,824,"Ars longa, vita brevis",F major,1825,4vv,Vocal,2nd setting of WoO 170 and WoO 193,
—,193,269,833,"Ars longa, vita brevis",C major,1825,,Vocal,3rd setting of WoO 170 and WoO 192,
—,194,—,827,"Si non per portas, canon",E♭ major,1825,4vv,Vocal,,
—,195,—,831,Freu dich des Lebens,A minor,1825,2vv,Vocal,,
—,196,270,834,"Es muß sein!, canon",F major,1826,4vv,Vocal,,
—,197,271,842,"Da ist das Werk, canon",C major,1826,5vv,Vocal,,
—,198,280,848,"Wir irren allesamt, canon",C major,1826,2vv,Vocal,,
—,199,281,585,Ich bin der Herr von zu,D major,1814,v,Vocal,,
—,200,75,688,O Hoffnung,G major,1818,pf,Keyboard,,
—,201,282,689,Ich bin bereit,C major,1818,pf,Keyboard,,
—,202,283,778,"Das Schöne zum Guten!, canon",F major,1823,v,Vocal,1st version of WoO 203,
—,203,272,804,"Das Schöne zum Guten!, canon",A major,1825,v,Vocal,2nd version of WoO 202,
—,204,284,826,"Holz, Holz geigt die Quartette so",D minor,1825,v,Vocal,,
—,205,286-295,—,Musical Greetings(10),,1798-1826,v,Vocal,from Beethoven's letters and conversation books,
—,Anh. 4,—,—,Flute Sonata,B♭ major,1790-92 ?,fl pf,Chamber,Beethoven's authoship uncertain,
—,Anh. 5,—,—,Sonatinas (2),,1790-92 ?,pf,Keyboard,probably spurious,
—,Anh. 10,—,—,Variations on 'Ich hab ein kleines Hüttchen nur',B♭ major,1795 ?,pf,Keyboard,Beethoven's authorship is doubtful,
—,Anh. 14,—,—,Waltzes (6),,,pf,Keyboard,spurious, authorship unknown
—,—,19,129,Wind Quintet,E♭ major,1793-96,ob bn 2hn,Chamber,fragment only, completion by Leopold Alexander Zellner (1862)
—,—,29,80,Prelude and Fugue,E minor,1794-95,2vn vc,Chamber,,
—,—,30,80,Prelude and Fugue,F major,1794-95,2vn va vc,Chamber,,
—,—,40,684,String Quintet,D minor,1817,2vn 2va vc,Chamber,part of 1 movt. only,
—,—,91,—,"Opferlied (""Die Flamme lodert"")",E major,1824,v ch pf,Vocal,"5th version of Op. 121b, WoO 126, Hess 91, Hess 145",
—,—,145,117,"Opferlied (""Die Flamme lodert"")",E major,1796,v pf,Vocal,"2nd version of Op. 121b, WoO 126, Hess 91",
—,—,238,80,9 Fugues for 4 Voices,,1794-95,4open,Chamber,,
—,—,244,80,Triple Fugues (2),,1794-95,4open,Chamber,,
—,—,Anh. 10,—,Andante favori,F major,,2vn va vc,Chamber,arr. of WoO 57, Beethoven's authorship uncertain
—,—,—,838,Symphony No.10,E♭ major,1822-25,,Orchestral,unfinished sketches only, completion by Barry Cooper (1988)
—,—,—,—,Bagatelle in F minor,F minor,1826,pf,Keyboard,unidentified work, Beethoven's authorshp disputed
—,—,—,—,Hymne an die Nacht,C major,-,ch pf,Vocal,setting of theme from Op.57, Beethoven's authorship disputed
